x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
+694.7500E-06,+444.4422064E-03,+1.9296482205E+00,-108.5427124E-03,-1.4873560555E+00
+695.0000E-06,+467.0552715E-03,+2.0100502297E+00,-104.5226119E-03,-1.5476587899E+00
+695.2500E-06,+454.4924576E-03,+2.0100502297E+00,-105.7788933E-03,-1.5476587899E+00
+695.5000E-06,+457.0050203E-03,+2.0100502297E+00,-106.2814059E-03,-1.5476587899E+00
+695.7500E-06,+488.4120552E-03,+2.0251256064E+00,-104.5226119E-03,-1.5238855966E+00
+696.0000E-06,+488.4120552E-03,+2.0904522389E+00,-100.7537678E-03,-1.5314081796E+00
+696.2500E-06,+488.4120552E-03,+2.0904522389E+00,-101.7587929E-03,-1.5879419930E+00
+696.5000E-06,+508.5125575E-03,+2.0904522389E+00,-102.2613054E-03,-1.5879419930E+00
+696.7500E-06,+488.4120552E-03,+2.1557788715E+00,-100.5025115E-03,-1.5879419930E+00
+697.0000E-06,+508.5125575E-03,+2.0954773646E+00,-100.2512552E-03,-1.5879419930E+00
+697.2500E-06,+508.5125575E-03,+2.1708542481E+00,-97.7386924E-03,-1.6231440193E+00
+697.5000E-06,+519.8190900E-03,+2.1256281178E+00,-96.4824110E-03,-1.6030634529E+00
+697.7500E-06,+524.8442156E-03,+2.1708542481E+00,-93.2160794E-03,-1.6482447274E+00
+698.0000E-06,+509.7688389E-03,+2.1708542481E+00,-92.4623106E-03,-1.6469935067E+00
+698.2500E-06,+534.8944668E-03,+2.2261306293E+00,-92.4623106E-03,-1.6282251962E+00
